Wall time,Step,Value
1700639271.8071609,800,-407.52154541015625
1700639324.263969,2400,-455.798095703125
1700639351.0241632,3200,-444.9013977050781
1700639378.5060217,4000,-458.07696533203125
1700639457.5563242,6400,-460.66729736328125
1700639510.2271178,8000,-461.391357421875
1700639536.2951448,8800,-453.53045654296875
1700639562.4047503,9600,-459.4938049316406
1700639640.0312603,12000,-458.5282287597656
1700639666.334891,12800,-461.4090881347656
1700639690.5459287,13600,-464.9526062011719
1700639717.619814,14400,-467.9057312011719
1700639743.7969825,15200,-467.5823669433594
1700639769.4139946,16000,-465.92242431640625
1700639793.6283255,16800,-464.9541015625
1700639846.197617,18400,-465.05072021484375
1700639872.9200184,19200,-465.5059814453125
1700639926.3387105,20800,-466.365966796875
1700639950.5286586,21600,-465.4324951171875
1700639976.2482476,22400,-462.6827392578125
1700640003.5124266,23200,-462.4854736328125
1700640028.1654656,24000,-460.6020202636719
1700640056.3674183,24800,-454.8111267089844
1700640083.84175,25600,-457.1058044433594
1700640108.894814,26400,-454.4996337890625
1700640135.4562209,27200,-456.54937744140625
1700640162.338898,28000,-454.7232360839844
1700640216.2895977,29600,-447.67828369140625
1700640243.9739275,30400,-445.9706115722656
1700640270.8224983,31200,-447.2550964355469
1700640296.1843257,32000,-448.1353759765625
1700640321.6495697,32800,-447.39642333984375
1700640376.7561352,34400,-435.12744140625
1700640401.7398245,35200,-433.0685729980469
1700640477.5882962,37600,-434.3824462890625
1700640504.5841088,38400,-436.1051940917969
1700640529.9204252,39200,-436.20233154296875
1700640557.1648245,40000,-431.290771484375
1700640584.675755,40800,-435.4681701660156
1700640608.9120593,41600,-432.0237121582031
1700640635.730747,42400,-430.2130126953125
1700640662.3689227,43200,-432.09466552734375
1700640689.1771958,44000,-432.6627197265625
1700640714.9962614,44800,-436.345947265625
1700640766.6103237,46400,-438.6248474121094
1700640790.4776971,47200,-439.9003601074219
1700640844.1809826,48800,-443.6592102050781
1700640869.7133121,49600,-449.8098449707031
